"BAK1"
"BAX"
"BID"
"BCL2L11"
"CASP7"
"BAD"
"BCL2"
"BCL2L1"
"BIRC2"
"CAV1"
"MYH11"
"RAB11A, RAB11B"
"CTNNB1"
"GAPDH"
"RBM15"
"CDK1"
"CCNB1"
"CCNE1"
"CCNE2"
"CDKN1B"
"PCNA"
"FOXM1"
"CDH1"
"CLDN7"
"TP53BP1"
"ATM"
"CHEK1"
"CHEK2"
"XRCC5"
"MRE11A"
"TP53"
"RAD50"
"RAD51"
"XRCC1"
"FN1"
"CDH2"
"COL6A1"
"SERPINE1"
"AKT1, AKT2, AKT3"
"GSK3A, GSK3B"
"AKT1S1"
"TSC2"
"INPP4B"
"PTEN"
"ARAF"
"JUN"
"RAF1"
"MAPK8"
"MAPK1, MAPK3"
"MAP2K1"
"MAPK14"
"RPS6KA1"
"YBX1"
"EGFR"
"ERBB2"
"ERBB3"
"SHC1"
"SRC"
"EIF4EBP1"
"RPS6KB1"
"MTOR"
"RPS6"
"RB1"
"ESR1"
"PGR"
"AR"
"GATA3"
